Name,Score
Move to Heaven,9.2
Weak Hero Class 1,9.1
Hospital Playlist Season 2,9.1
Flower of Evil,9.1
Hospital Playlist,9.1
Alchemy of Souls,9.1
Reply 1988,9.1
My Mister,9.0
Under the Queen's Umbrella,9.0
The Glory Part 2,9.0
Prison Playbook,9.0
Mr. Queen,9.0
Mother,9.0
Alchemy of Souls Season 2: Light and Shadow,9.0
Extraordinary Attorney Woo,9.0
Crash Landing on You,9.0
Navillera,9.0
Vincenzo,9.0
It's Okay to Not Be Okay,8.9
Signal,8.9
The Glory,8.9
Kingdom Season 2,8.9
Happiness,8.9
Mr. Sunshine,8.9
Tomorrow,8.9
Healer,8.9
SKY Castle,8.8
The Red Sleeve,8.8
Taxi Driver Season 2,8.8
Mouse,8.8
Stranger,8.8
Twenty-Five Twenty-One,8.8
The Uncanny Counter,8.8
Goblin,8.8
D.P.,8.8
Kingdom,8.8
Weightlifting Fairy Kim Bok Joo,8.8
Taxi Driver,8.8
Six Flying Dragons,8.8
Youth of May,8.8
Life on Mars,8.8
Missing: The Other Side Season 2,8.8
The Devil Judge,8.8
Racket Boys,8.8
Through the Darkness,8.8
Beyond Evil,8.7
Dear My Friends,8.7
Hometown Cha-Cha-Cha,8.7
The Penthouse: War in Life,8.7
Arthdal Chronicles Part 3: The Prelude to All Legends,8.7
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",8.7
The Guest,8.7
Defendant,8.7
Dr. Romantic Season 2,8.7
While You Were Sleeping,8.7
The Penthouse Season 2: War in Life,8.7
Our Beloved Summer,8.7
Sweet Home,8.7
Our Blues,8.7
18 Again,8.7
Moon Lovers: Scarlet Heart Ryeo,8.7
Partners for Justice Season 2,8.7
"Kill Me, Heal Me",8.7
The Fiery Priest,8.7
Misaeng: Incomplete Life,8.7
A Business Proposal,8.7
My Name,8.7
Chicago Typewriter,8.7
Hot Stove League,8.7
Strong Woman Do Bong Soon,8.7
Duty After School: Part 1,8.7
Dr. Romantic,8.7
Strangers from Hell,8.7
Live,8.7
The King of Pigs,8.7
Jewel in the Palace,8.6
Tunnel,8.6
Love to Hate You,8.6
My Liberation Notes,8.6
Descendants of the Sun,8.6
Hotel del Luna,8.6
The First Responders,8.6
Missing: The Other Side,8.6
Law School,8.6
"It's Okay, That's Love",8.6
Ghost Doctor,8.6
Eulachacha Waikiki,8.6
Children of Nobody,8.6
Good Manager,8.6
Reborn Rich,8.6
Once Again,8.6
The Bridal Mask,8.6
Empress Ki,8.6
Money Heist: Korea - Joint Economic Area - Part 2,8.6
Go Back Couple,8.6
Juvenile Justice,8.6
My Father Is Strange,8.6
Big Mouth,8.6
Stranger Season 2,8.6
Designated Survivor: 60 Days,8.6
Cruel City,8.6
Little Women,8.6
Beautiful World,8.6
365: Repeat the Year,8.6
